q	t	bitscore	evalue
YP_010070988.1	YP_010068127.1	531.2	5e-192
YP_010070988.1	YP_009850416.1	490.0	9.6e-176
YP_010070988.1	YP_010075487.1	532.3	1.8e-192
YP_010070988.1	YP_010074422.1	614.4	6.2e-225
YP_010070988.1	YP_009153819.1	614.4	6.2e-225
YP_010070988.1	YP_010075111.1	614.4	6.2e-225
YP_010070988.1	YP_010076024.1	614.4	6.2e-225
YP_010070988.1	YP_009290484.1	613.6	1.3e-224
YP_010070988.1	YP_010066870.1	612.8	2.5e-224
YP_010070988.1	YP_007004595.1	612.1	5.1e-224
YP_010070988.1	YP_010106030.1	612.1	5.1e-224
YP_010070988.1	YP_006986775.1	611.7	7.3e-224
YP_010070988.1	YP_009149463.1	611.7	7.3e-224
YP_010070988.1	YP_009281552.1	611.7	7.3e-224
YP_010070988.1	YP_009197236.1	611.3	1e-223
YP_009222739.1	YP_009277061.1	69.3	1.4e-14
YP_009222739.1	YP_009009328.1	206.8	1.4e-69
YP_009222739.1	YP_007236841.1	104.4	8.8e-29
YP_009222739.1	YP_009598073.1	104.4	8.8e-29
YP_009222739.1	YP_002003579.1	104.0	1.2e-28
YP_009222739.1	YP_007006245.1	104.0	1.2e-28
YP_009222739.1	YP_009593917.1	104.0	1.2e-28
YP_009222739.1	YP_008530320.1	103.6	1.7e-28
YP_009222739.1	YP_009030983.1	103.2	2.4e-28
YP_009222739.1	YP_009593676.1	103.2	2.4e-28
YP_009222739.1	YP_009602305.1	103.2	2.4e-28
YP_009222739.1	YP_007002507.1	101.3	1.5e-27
YP_009222739.1	YP_009177522.1	100.1	3.8e-27
YP_009222739.1	YP_009851655.1	99.8	5.4e-27
YP_009222739.1	YP_004327165.1	99.0	1.2e-26
YP_009222739.1	YP_009985323.1	97.4	4.1e-26
YP_009222739.1	YP_007236432.2	97.4	4.6e-26
YP_009222739.1	YP_008857187.1	97.4	4.6e-26
YP_009222739.1	YP_009623432.1	97.4	4.6e-26
YP_009222739.1	YP_009199962.1	97.4	4.6e-26
YP_009222739.1	YP_009186913.1	97.4	4.6e-26
YP_009222739.1	YP_009273780.1	97.4	4.6e-26
YP_009222739.1	YP_009621234.1	96.7	8.3e-26
YP_009222739.1	YP_009291217.1	96.7	9.3e-26
YP_009222739.1	YP_009012426.1	96.3	1.2e-25
YP_009222739.1	YP_238673.1	63.9	3.7e-11
YP_009222739.1	YP_009601024.1	63.5	5.2e-11
YP_009222739.1	YP_009214557.1	63.5	5.2e-11
YP_009230336.1	ERR844010__NODE_2_length_152158_cov_215.774554_113	81.3	2.3e-16
YP_009230336.1	ERR844055__NODE_10_length_33973_cov_40.644761_27	112.8	2.2e-26
YP_009230336.1	YP_009611683.1	93.6	1.1e-19
YP_009230336.1	YP_008873417.1	52.4	1.5e-06
YP_009230336.1	YP_008241527.1	87.4	8.1e-19
YP_009230336.1	YP_008240620.1	87.4	7.9e-19
YP_009230336.1	YP_009809961.1	76.6	3.3e-14
YP_009230336.1	YP_009823076.1	97.8	4e-21
YP_009230336.1	YP_010056736.1	94.4	4.7e-20
YP_009230336.1	YP_002456102.1	87.4	1.2e-17
YP_009230336.1	YP_004327056.1	87.4	1.2e-17
YP_009230336.1	YP_009606717.1	85.1	7.2e-17
YP_009230336.1	YP_009222883.1	84.0	2e-16
YP_009230336.1	YP_007877166.1	84.0	2e-16
YP_009230336.1	YP_009201383.1	81.6	6.8e-16
YP_009230336.1	YP_009851704.1	80.5	2.4e-15
YP_009230336.1	YP_002224946.1	79.0	6.6e-15
YP_009230336.1	YP_009601394.1	78.6	9.6e-15
YP_009230336.1	YP_009212514.1	78.2	1.3e-14
YP_009230336.1	YP_009816375.1	75.9	1.5e-14
YP_009230336.1	YP_655873.1	77.8	1.4e-14
YP_009903172.1	YP_009818341.1	207.2	3e-68
YP_009903172.1	YP_009624441.1	209.9	1.9e-69
YP_009903172.1	YP_001285498.1	232.3	6.1e-78
YP_009903172.1	YP_398948.1	213.8	8.9e-71
YP_009903172.1	YP_007005403.1	186.4	2.8e-60
YP_009903172.1	YP_009226025.1	329.3	8.9e-117
YP_009903172.1	YP_009197864.1	333.6	1.9e-118
YP_009903172.1	YP_009195397.1	317.8	3.5e-112
YP_009903172.1	YP_009284875.1	328.9	1.3e-116
YP_009903172.1	YP_009284638.1	207.6	7.5e-68
YP_009903172.1	YP_009787672.1	246.1	7.8e-84
YP_009903172.1	YP_277501.1	136.3	1.3e-40
YP_009903172.1	YP_009791584.1	329.3	8.9e-117
YP_009903172.1	YP_009792130.1	333.6	1.9e-118
YP_009903172.1	YP_009796974.1	290.0	1.4e-101
YP_009903172.1	YP_009808744.1	333.6	1.9e-118
YP_009903172.1	YP_009808665.1	333.6	1.9e-118
YP_009903172.1	YP_009903272.1	333.6	1.9e-118
YP_009903172.1	YP_009808819.1	333.2	2.6e-118
YP_009903172.1	YP_009807432.1	332.0	7.6e-118
YP_009903172.1	YP_009817820.1	332.0	7.6e-118
YP_009903172.1	YP_009903499.1	331.3	1.5e-117
YP_009903172.1	YP_009818825.1	330.9	2.2e-117
YP_009903172.1	YP_009902821.1	330.5	3.1e-117
YP_009903172.1	YP_009903094.1	330.5	3.1e-117
YP_009903172.1	YP_009903331.1	330.5	3.1e-117
YP_009903172.1	YP_009902951.1	328.6	1.8e-116
YP_009903172.1	YP_009902430.1	328.2	2.5e-116
YP_009903172.1	YP_009790255.1	236.9	9e-80
YP_009903172.1	YP_009814941.1	184.1	2.3e-59
YP_009903172.1	YP_009800855.1	255.0	4.1e-87
YP_009903172.1	YP_009902596.1	246.1	7.8e-84
YP_009903172.1	YP_009902769.1	245.7	1.1e-83
YP_009903172.1	YP_009902687.1	246.1	7.8e-84
YP_009903172.1	YP_009902510.1	246.1	7.8e-84
YP_009903172.1	YP_009903550.1	257.3	3e-88
YP_009903172.1	YP_009148777.1	239.2	1.1e-80
YP_009594226.1	YP_007112690.1	416.8	4.9e-150
YP_009594226.1	YP_009112990.1	329.3	6.9e-116
YP_009594226.1	YP_009790550.1	415.6	1.4e-149
YP_009594226.1	YP_009800770.1	414.1	5.7e-149
YP_009594226.1	YP_009787710.1	357.8	4.1e-127
YP_009594226.1	YP_009609299.1	356.7	1.2e-126
YP_009594226.1	YP_009902329.1	353.2	2.4e-125
YP_009594226.1	YP_009902236.1	346.7	1.1e-122
YP_009594226.1	YP_004414836.1	344.4	8.9e-122
YP_009594226.1	YP_009792900.1	320.9	1.8e-112
YP_009594226.1	YP_009803972.1	320.9	1.5e-112
YP_009594226.1	YP_009804042.1	308.9	4.9e-108
YP_009594226.1	YP_009594145.1	309.3	5.5e-108
YP_009594226.1	YP_009819456.1	266.5	6.1e-91
YP_009594226.1	YP_009800855.1	249.6	2.5e-84
YP_009594226.1	YP_009615446.1	249.2	3.7e-84
YP_009594226.1	YP_010064578.1	233.4	6.9e-78
YP_009594226.1	YP_009903499.1	232.6	7.9e-78
YP_009594226.1	YP_009817820.1	231.9	1.6e-77
YP_009594226.1	YP_009284875.1	231.5	2.2e-77
YP_009594226.1	YP_009197864.1	229.6	1.3e-76
YP_009637420.1	YP_009951753.1	252.3	8e-87
YP_009637420.1	YP_009951848.1	193.7	1.3e-63
YP_009637420.1	YP_009951457.1	95.5	1.4e-25
YP_009637420.1	YP_009953964.1	117.1	3.1e-33
YP_009637420.1	YP_009951943.1	196.1	1.6e-64
YP_009637420.1	YP_009952037.1	198.4	1.9e-65
YP_009637420.1	YP_009953173.1	111.7	1.6e-31
YP_009637420.1	YP_009952128.1	180.3	3e-58
YP_009637420.1	YP_009954161.1	113.2	5.7e-32
YP_009637420.1	YP_009953474.1	110.5	1.4e-30
YP_009637420.1	YP_009952968.1	122.9	1e-35
YP_009637420.1	YP_009952223.1	197.2	5.4e-65
YP_009637420.1	YP_009202716.1	247.7	5.4e-85
YP_009637420.1	YP_009125837.1	234.6	8.2e-80
YP_009637420.1	YP_009951065.1	103.6	2.4e-28
YP_009637420.1	YP_009953669.1	100.1	1.6e-26
YP_009637420.1	YP_009950880.1	99.4	4.8e-26
YP_009637420.1	YP_009950786.1	99.4	4.8e-26
YP_009637420.1	YP_009043676.1	98.2	2.2e-25
YP_009637420.1	YP_009282319.1	96.7	8.7e-25
YP_009637420.1	YP_009951554.1	93.2	1.2e-24
YP_009637420.1	YP_009212822.1	92.0	9.4e-24
YP_007010162.1	YP_004301170.1	547.7	1.3e-195
YP_007010162.1	YP_003969386.1	323.9	1.3e-107
YP_007010162.1	YP_009835086.1	710.3	2.9e-260
YP_007010162.1	YP_010096482.1	265.8	5.2e-85
YP_007010162.1	YP_009100768.1	264.6	1.5e-84
YP_007010162.1	YP_009056809.1	264.2	2.1e-84
YP_007010162.1	NP_861926.1	263.5	4.1e-84
YP_007010162.1	YP_010090062.1	261.9	1.6e-83
YP_007010162.1	YP_009006379.1	261.9	2e-83
YP_007010162.1	YP_009201279.1	260.8	5.7e-83
YP_007010162.1	YP_008125283.1	256.9	1.7e-81
YP_007010162.1	YP_009593224.1	256.5	2.1e-81
YP_007010162.1	YP_010088298.1	256.5	2.1e-81
YP_007010162.1	YP_009289058.1	256.1	2.9e-81
YP_007010162.1	YP_010278695.1	256.1	2.9e-81
YP_007010162.1	YP_009037542.1	255.8	4.1e-81
YP_007010162.1	YP_010093277.1	255.8	4.1e-81
YP_007010162.1	YP_010099954.1	255.8	4.1e-81
YP_007010162.1	YP_009835088.1	85.1	7.6e-21
YP_010074548.1	YP_007004595.1	622.1	5.6e-228
YP_010074548.1	YP_006986775.1	624.8	4.8e-229
YP_010074548.1	YP_009149463.1	624.8	4.8e-229
YP_010074548.1	YP_010066870.1	622.5	3.9e-228
YP_010074548.1	YP_009625436.1	623.6	1.4e-228
YP_010074548.1	YP_009197236.1	625.9	1.7e-229
YP_010074548.1	YP_010073152.1	622.5	3.9e-228
YP_010074548.1	YP_010094469.1	619.8	4.6e-227
YP_010074548.1	YP_010071423.1	628.2	2e-230
YP_010074548.1	YP_010074075.1	628.2	2e-230
YP_010074548.1	YP_010065861.1	623.6	1.4e-228
YP_010074548.1	YP_010075759.1	623.6	1.4e-228
YP_010074548.1	YP_009619150.1	621.7	7.9e-228
YP_010074548.1	YP_010076024.1	621.3	1.1e-227
YP_010074548.1	YP_009281552.1	620.9	1.6e-227
YP_010074548.1	YP_010072781.1	619.8	4.6e-227
YP_010074548.1	YP_009153819.1	619.4	6.5e-227
YP_010074548.1	YP_803158.1	618.6	1.3e-226
YP_010074548.1	YP_010075111.1	618.2	1.9e-226
YP_010074548.1	YP_010106030.1	617.1	5.3e-226
YP_010074548.1	YP_009290484.1	614.0	8.9e-225
YP_007004222.1	YP_001595350.1	738.8	1.8e-271
YP_007004222.1	YP_002922568.1	738.8	1.8e-271
YP_007004222.1	YP_003934865.1	466.1	9.4e-164
YP_007004222.1	YP_004063925.1	450.7	1.1e-157
YP_007004222.1	YP_009202963.1	751.1	2.5e-276
YP_007004222.1	YP_009324122.1	750.0	7e-276
YP_007004222.1	YP_010094722.1	748.8	2e-275
YP_007004222.1	YP_010094192.1	748.4	2.9e-275
YP_007004222.1	YP_010100360.1	746.9	1.2e-274
YP_007004222.1	YP_009205923.1	731.5	1.5e-268
YP_007004222.1	YP_010100442.1	637.5	2.2e-232
YP_007004222.1	YP_009207417.1	449.9	2.2e-157
YP_007004222.1	YP_009209986.1	449.5	3.2e-157
YP_007004222.1	YP_010092383.1	441.0	1.1e-153
YP_007004222.1	YP_009211667.1	432.2	2.2e-150
YP_007004222.1	YP_010090941.1	429.5	3.8e-149
YP_007004222.1	YP_009146678.1	407.9	7.3e-141
YP_007004222.1	YP_009618311.1	407.9	7.3e-141
YP_010095187.1	YP_656429.1	335.9	2e-112
YP_010095187.1	YP_004010361.1	386.0	4.9e-132
YP_010095187.1	YP_006489056.1	402.1	1.9e-138
YP_010095187.1	YP_007010876.1	340.9	2.2e-114
YP_010095187.1	YP_009217606.1	322.0	5.7e-107
YP_010095187.1	YP_009599568.1	221.9	6.3e-68
YP_010095187.1	YP_009613044.1	340.5	3.1e-114
YP_010095187.1	YP_009809876.1	128.6	8.2e-33
YP_010095187.1	YP_010095644.1	339.3	8.8e-114
YP_010095187.1	YP_010095938.1	340.1	4.4e-114
YP_010095187.1	YP_009810431.1	131.3	1.3e-33
YP_010095187.1	YP_010089826.1	364.4	1.4e-123
YP_010095187.1	YP_009882193.1	401.4	3.6e-138
YP_010095187.1	YP_004009833.1	406.4	4.3e-140
YP_010095187.1	YP_004009585.1	377.5	1.1e-128
YP_010095187.1	YP_007007619.1	228.4	1.6e-70
YP_010095187.1	YP_007677915.1	340.5	3.1e-114
YP_010095187.1	YP_007236062.1	357.8	5.1e-121
YP_010095187.1	YP_009153187.1	228.8	1.1e-70
YP_010095187.1	YP_009030282.1	336.7	6.9e-113
YP_010095187.1	YP_009200488.1	364.0	1.9e-123
YP_010095187.1	YP_009195637.1	370.5	3.3e-126
YP_010095187.1	YP_009289565.1	396.7	2.5e-136
YP_010095187.1	YP_009190798.1	397.9	8.7e-137
YP_010095187.1	YP_009288910.1	395.6	7.1e-136
YP_010095187.1	YP_009280089.1	365.5	2.3e-124
YP_010095187.1	YP_010089554.1	396.0	5e-136
YP_010095187.1	YP_010092383.1	468.8	1.3e-164
YP_010095187.1	YP_010092092.1	367.1	7.7e-125
YP_010095187.1	YP_010093578.1	366.3	1.5e-124
YP_010095187.1	YP_009836865.1	415.2	1.4e-143
YP_010095187.1	YP_010090941.1	448.0	2.1e-156
YP_010095187.1	YP_009147949.1	425.6	8.3e-148
YP_010095187.1	YP_007501256.1	424.9	1.7e-147
YP_010095187.1	YP_009615701.1	424.9	1.7e-147
YP_010095187.1	YP_009126165.1	422.9	9.6e-147
YP_010095187.1	YP_009286577.1	422.9	9.6e-147
YP_010095187.1	YP_009850423.1	414.8	2e-143
YP_010095187.1	YP_009203965.1	412.5	1.2e-142
YP_010095187.1	YP_009886991.1	412.5	1.4e-142
YP_010095187.1	YP_009886247.1	412.9	9.9e-143
YP_010095187.1	YP_009146678.1	410.6	6.8e-142
YP_010095187.1	YP_009618311.1	410.6	6.8e-142
YP_010095187.1	YP_009889851.1	409.1	3.3e-141
YP_010095187.1	YP_009880988.1	407.9	6.4e-141
YP_010095187.1	YP_009886744.1	408.3	6.6e-141
YP_010095187.1	YP_009886493.1	407.9	9.4e-141
YP_010095187.1	YP_009885403.1	407.5	1.3e-140
YP_010095187.1	YP_009881482.1	407.5	1.3e-140
YP_010095187.1	YP_010094192.1	406.4	3.9e-140
YP_010095187.1	YP_010096206.1	398.3	6.2e-137
YP_010095187.1	YP_010098464.1	394.8	1.4e-135
YP_010095187.1	YP_009883942.1	338.6	1.2e-113
YP_010095187.1	YP_009887132.1	399.8	1.5e-137
YP_010095187.1	YP_009594623.1	229.6	5.9e-71
YP_009593295.1	YP_009801024.1	112.1	4.2e-27
YP_009593295.1	YP_009849905.1	102.8	1e-23
YP_009593295.1	YP_001294474.1	572.8	5.7e-207
YP_009593295.1	YP_009835185.1	636.0	5.4e-232
YP_009593295.1	YP_002455989.1	579.3	1.1e-209
YP_009593295.1	YP_002154291.1	662.9	6.6e-243
YP_009593295.1	YP_002364366.1	663.3	4.7e-243
YP_009593295.1	YP_002418865.1	663.3	4.7e-243
YP_009593295.1	YP_009211385.1	663.3	4.7e-243
YP_009593295.1	YP_009124379.1	654.1	2.1e-239
YP_009593295.1	YP_009967041.1	578.2	2.2e-209
YP_009593295.1	YP_009913897.1	665.6	5.9e-244
YP_009593295.1	YP_009619482.1	665.2	8.1e-244
YP_009593295.1	YP_009837422.1	664.5	1.6e-243
YP_009593295.1	YP_009842960.1	664.5	1.6e-243
YP_009593295.1	YP_009597891.1	663.3	4.7e-243
YP_009593295.1	YP_009914100.1	663.3	4.7e-243
YP_009593295.1	YP_009829633.1	661.4	2.7e-242
YP_009593295.1	YP_009914190.1	659.8	1.1e-241
YP_009593295.1	YP_009913939.1	661.8	1.9e-242
YP_009593295.1	YP_002154200.1	658.7	3.2e-241
YP_009593295.1	YP_009913815.1	658.3	4.5e-241
YP_009593295.1	YP_009914261.1	656.4	2.7e-240
YP_009593295.1	YP_009619410.1	657.1	1.3e-240
YP_009593295.1	YP_009833218.1	655.6	5.2e-240
YP_009593295.1	YP_009851506.1	659.1	2.7e-241
YP_009593295.1	YP_009593811.1	656.0	3.7e-240
YP_009593295.1	YP_009215170.1	652.1	1.3e-238
YP_009593295.1	YP_009833315.1	567.8	3.4e-205
YP_009593295.1	YP_009914443.1	569.7	5.8e-206
YP_009593295.1	YP_009913710.1	556.6	1e-200
YP_009839079.1	ERR843977__NODE_92_length_6280_cov_5.245944_8	136.3	4.7e-37
YP_009839079.1	YP_001039757.1	75.5	6.7e-16
YP_009839079.1	YP_009004236.1	201.4	2.9e-62
YP_009839079.1	YP_009615194.1	102.8	2.5e-25
YP_009839079.1	YP_009622720.1	317.4	7.3e-108
YP_009839079.1	YP_009839315.1	588.2	9.1e-215
YP_009839079.1	YP_009611598.1	277.7	4.2e-92
YP_009839079.1	YP_009611368.1	277.3	6e-92
YP_009839079.1	YP_010103536.1	276.6	1.1e-91
YP_009839079.1	YP_009839855.1	276.2	1.4e-91
YP_009839079.1	YP_010101579.1	275.4	3.4e-91
YP_009839079.1	YP_009610928.1	273.1	2.8e-90
YP_009839079.1	YP_009839612.1	272.3	4.7e-90
YP_009839079.1	YP_010104052.1	271.6	1.1e-89
YP_009839079.1	YP_009611145.1	271.2	1.6e-89
YP_009839079.1	YP_009840342.1	270.8	1.9e-89
YP_009839079.1	YP_009610702.1	270.4	3.2e-89
YP_009839079.1	YP_009841306.1	269.6	5.4e-89
YP_009839079.1	YP_009840097.1	268.5	1.5e-88
YP_009839079.1	YP_010104919.1	267.7	3.6e-88
YP_009839079.1	YP_010245934.1	208.8	4.3e-65
YP_009839079.1	YP_010246195.1	196.4	3.1e-60
YP_009839079.1	YP_004301246.1	195.3	8.1e-60
YP_009839079.1	YP_010114773.1	194.9	1.2e-59
YP_009839079.1	YP_009834381.1	194.5	1.7e-59
YP_009839079.1	YP_009840917.1	149.1	3e-44
YP_009839079.1	YP_009842593.1	147.1	1.5e-43
YP_009593917.1	YP_009609823.1	67.4	4.1e-14
YP_009593917.1	YP_002003579.1	285.4	3e-100
YP_009593917.1	YP_007006245.1	281.6	1e-98
YP_009593917.1	YP_008530320.1	284.6	6.1e-100
YP_009593917.1	YP_009030983.1	281.6	1e-98
YP_009593917.1	YP_009009328.1	82.4	1.8e-20
YP_009593917.1	YP_009593676.1	281.6	1e-98
YP_009593917.1	YP_009602305.1	277.7	3.4e-97
YP_009593917.1	YP_009177522.1	274.6	5.7e-96
YP_009593917.1	YP_004893914.1	135.6	5.3e-41
YP_009593917.1	YP_009149015.1	135.6	5.3e-41
YP_009593917.1	YP_009835812.1	135.2	7.3e-41
YP_009593917.1	YP_008857322.1	132.9	6.2e-40
YP_009593917.1	YP_006987005.1	132.1	1.2e-39
YP_009593917.1	YP_009851655.1	123.6	2.8e-36
YP_009593917.1	YP_007673627.1	122.1	1.2e-35
YP_009593917.1	YP_009854319.1	120.9	3.2e-35
YP_009593917.1	YP_009985323.1	120.6	4.3e-35
YP_009593917.1	YP_010101927.1	119.4	1.4e-34
YP_009593917.1	YP_010102580.1	119.4	1.4e-34
YP_009593917.1	YP_010105741.1	119.4	1.4e-34
YP_009593917.1	YP_010108193.1	119.4	1.4e-34
YP_009593917.1	YP_010108575.1	119.4	1.4e-34
YP_009593917.1	YP_009012426.1	118.2	3.5e-34
YP_009593917.1	YP_010105932.1	118.2	4e-34
YP_009593917.1	YP_010108770.1	118.2	4e-34
YP_009611365.1	ERR843935__NODE_55_length_13301_cov_67.352408_14	70.1	4.1e-12
YP_009611365.1	ERR843942__NODE_1_length_66462_cov_22.158327_77	63.2	7.5e-10
YP_009611365.1	YP_008873416.1	153.7	4.3e-42
YP_009611365.1	YP_009831889.1	229.6	1.7e-71
YP_009611365.1	YP_009610189.1	140.6	1.9e-37
YP_009611365.1	YP_009622714.1	380.2	1.4e-130
YP_009611365.1	YP_009839076.1	343.2	4.7e-116
YP_009611365.1	YP_009839312.1	344.0	2.2e-116
YP_009611365.1	YP_009225884.1	718.0	9e-264
YP_009611365.1	YP_009876862.1	110.9	1.5e-26
YP_009611365.1	YP_009610924.1	699.9	1.3e-256
YP_009611365.1	YP_009611141.1	701.0	4.4e-257
YP_009611365.1	YP_009611595.1	756.1	7.3e-279
YP_009611365.1	YP_010101576.1	750.4	1.4e-276
YP_009611365.1	YP_010103533.1	716.1	5.2e-263
YP_009611365.1	YP_010104916.1	710.7	7.1e-261
YP_009611365.1	YP_010104048.1	701.0	4.4e-257
YP_009611365.1	YP_010107562.1	680.2	7.8e-249
YP_009611365.1	YP_009840337.1	566.6	5e-204
YP_009611365.1	YP_009840094.1	556.2	6.4e-200
YP_009611365.1	YP_009841302.1	555.1	1.8e-199
YP_009611365.1	YP_009839609.1	554.3	3.7e-199
YP_009611365.1	YP_009839851.1	545.4	1.1e-195
YP_009282319.1	YP_009954062.1	100.5	2.6e-26
YP_009282319.1	YP_009951753.1	97.1	2.2e-25
YP_009282319.1	YP_009951848.1	109.4	5.5e-30
YP_009282319.1	YP_009951852.1	66.6	4.1e-14
YP_009282319.1	YP_009951457.1	99.0	6.5e-27
YP_009282319.1	YP_009953964.1	132.5	5.6e-39
YP_009282319.1	YP_009951943.1	97.8	1.2e-25
YP_009282319.1	YP_009951946.1	66.2	5.8e-14
YP_009282319.1	YP_009952037.1	95.1	1.4e-24
YP_009282319.1	YP_009952040.1	66.2	5.8e-14
YP_009282319.1	YP_009953281.1	107.5	6.4e-29
YP_009282319.1	YP_009952873.1	109.8	8.1e-30
YP_009282319.1	YP_009952677.1	124.8	1.1e-35
YP_009282319.1	YP_009950880.1	309.3	2.6e-108
YP_009282319.1	YP_009950786.1	309.3	2.6e-108
YP_009282319.1	YP_009950974.1	185.7	2.9e-59
YP_009282319.1	YP_009953870.1	107.1	2e-28
YP_009282319.1	YP_009953173.1	123.6	8.6e-36
YP_009282319.1	YP_009953669.1	125.9	2.6e-36
YP_009282319.1	YP_009952128.1	87.8	1.1e-21
YP_009282319.1	YP_009954161.1	112.1	4.1e-31
YP_009282319.1	YP_009953474.1	117.5	6.7e-33
YP_009282319.1	YP_009952968.1	114.4	5.6e-32
YP_009282319.1	YP_009952223.1	106.3	8.8e-29
YP_009282319.1	YP_009952227.1	68.6	7.6e-15
YP_009282319.1	NP_569816.1	97.8	2.3e-26
YP_009282319.1	YP_009638072.1	98.6	1.5e-25
YP_009282319.1	YP_009043676.1	404.4	1.1e-145
YP_009282319.1	YP_009125837.1	96.7	3.2e-25
YP_009282319.1	YP_009202716.1	94.7	1.8e-24
YP_009282319.1	YP_009016437.1	183.7	6.9e-59
YP_009282319.1	YP_003857053.1	133.7	3.7e-39
YP_009282319.1	YP_009019060.1	125.2	7.8e-36
YP_009282319.1	YP_009953074.1	114.4	3.5e-31
YP_009282319.1	YP_009032477.1	95.5	1.8e-25
YP_009282319.1	YP_009212822.1	100.9	4.9e-27
YP_009282319.1	YP_009951554.1	98.6	9.5e-27
YP_009282319.1	YP_009950689.1	100.9	4.9e-27
YP_009282319.1	YP_009954263.1	102.4	1.8e-27
YP_009902153.1	ERR843949__NODE_12_length_23800_cov_10.073363_11	102.8	6e-27
YP_009902153.1	ERR844042__NODE_1_length_110651_cov_90.802425_138	104.0	2.1e-27
YP_009902153.1	ERR844047__NODE_1_length_110784_cov_44.620678_84	73.2	1.7e-16
YP_009902153.1	YP_006489218.1	59.3	2.5e-10
YP_009902153.1	YP_009807880.1	70.1	1.6e-14
YP_009902153.1	YP_009843728.1	78.2	3.3e-16
YP_009902153.1	YP_009823415.1	82.0	7.5e-19
YP_009902153.1	YP_010064976.1	258.1	1.4e-87
YP_009902153.1	YP_004539103.1	143.3	1.5e-42
YP_009902153.1	YP_008059764.1	347.4	7.3e-123
YP_009902153.1	NP_891800.1	133.3	9.2e-39
YP_009902153.1	YP_001469573.1	133.3	9.2e-39
YP_009902153.1	YP_009118914.1	132.9	1.3e-38
YP_009902153.1	YP_010097251.1	133.3	9.2e-39
YP_009902153.1	YP_009824259.1	313.5	1.9e-109
YP_009902153.1	YP_009965914.1	309.7	6e-108
YP_009902153.1	YP_009901554.1	409.5	6.2e-147
YP_009902153.1	YP_010064681.1	260.8	1.5e-88
YP_009902153.1	YP_010064769.1	265.8	1.6e-90
YP_009902153.1	YP_009900923.1	310.8	2.2e-108
YP_009902153.1	YP_010064578.1	269.2	6e-92
YP_009902153.1	YP_009901900.1	415.2	3.3e-149
YP_009902153.1	YP_009902011.1	360.9	4e-128
YP_009902153.1	YP_009901726.1	360.1	9.6e-128
YP_009902153.1	YP_009904898.1	350.9	3.1e-124
YP_009902153.1	YP_009901808.1	350.1	7.7e-124
YP_009902153.1	YP_009901670.1	349.4	1.3e-122
YP_009902153.1	YP_009902183.1	349.4	1.3e-122
YP_009902153.1	YP_009901449.1	339.7	1e-119
YP_009902153.1	YP_009901365.1	314.3	8.9e-110
YP_009902153.1	YP_009900991.1	311.2	1.8e-108
YP_009902153.1	YP_009901176.1	315.5	3.1e-109
YP_009902153.1	YP_009901283.1	312.4	5.1e-108
YP_009902153.1	YP_009901099.1	309.3	8.8e-108
YP_009902153.1	YP_009996943.1	90.1	4.2e-22
YP_008530321.1	ERR844057__NODE_50_length_7653_cov_5.430771_12	51.6	1.1e-06
YP_008530321.1	YP_009621438.1	215.3	1.9e-67
YP_008530321.1	YP_010102764.1	221.5	7.6e-70
YP_008530321.1	YP_010102579.1	219.9	3e-69
YP_008530321.1	YP_010105931.1	218.8	8.6e-69
YP_008530321.1	YP_010108192.1	220.7	4e-69
YP_008530321.1	YP_010108769.1	217.6	2.4e-68
YP_008530321.1	YP_010108382.1	217.6	2.4e-68
YP_008530321.1	YP_010108574.1	218.8	8.6e-69
YP_008530321.1	YP_010107996.1	229.6	6e-73
YP_008530321.1	YP_010114323.1	219.5	4.3e-69
YP_008530321.1	YP_002003580.1	627.1	9e-230
YP_008530321.1	YP_007006246.1	623.2	3e-228
YP_008530321.1	YP_009030984.1	632.5	6.5e-232
YP_008530321.1	YP_009593918.1	630.9	2.7e-231
YP_008530321.1	YP_009177523.1	630.2	4.2e-231
YP_008530321.1	YP_009602306.1	444.9	4.6e-159
YP_008530321.1	YP_009149017.1	293.1	1.1e-97
YP_008530321.1	YP_009803360.1	287.7	8.8e-96
YP_008530321.1	YP_009985880.1	287.3	1.2e-95
YP_008530321.1	YP_009787105.1	286.2	3.6e-95
YP_008530321.1	YP_009823780.1	286.2	3.6e-95
YP_008530321.1	YP_009985562.1	285.8	5e-95
YP_008530321.1	YP_009984457.1	280.0	9.4e-93
YP_008530321.1	YP_009985324.1	278.5	3.8e-92
YP_008530321.1	YP_009987301.1	277.3	1.1e-91
YP_008530321.1	YP_009985640.1	276.9	1.5e-91
YP_008530321.1	YP_009012427.1	276.6	2.1e-91
YP_008530321.1	YP_006987008.1	263.8	2.9e-86
YP_007673627.1	ERR843942__NODE_1_length_66462_cov_22.158327_76	50.1	9.4e-07
YP_007673627.1	ERR843988__NODE_57_length_12046_cov_7.995497_4	50.1	9.4e-07
YP_007673627.1	YP_009819618.1	151.8	2.4e-47
YP_007673627.1	YP_004893914.1	138.3	4.8e-42
YP_007673627.1	YP_009149015.1	138.3	4.8e-42
YP_007673627.1	YP_008857322.1	135.6	5.5e-41
YP_007673627.1	YP_009187718.1	132.9	6.2e-40
YP_007673627.1	YP_009832593.1	132.9	6.2e-40
YP_007673627.1	YP_009842370.1	132.9	6.2e-40
YP_007673627.1	YP_009966208.1	132.9	6.2e-40
YP_007673627.1	YP_009859153.1	130.6	5e-39
